key,0,31536000,63072000,94694400,126230400,157766400,189302400,220924800,252460800,283996800,315532800,347155200,378691200,410227200,441763200,473385600,504921600,536457600,567993600,599616000,631152000,662688000,694224000,725846400,757382400,788918400,820454400,852076800,883612800,915148800,946684800,978307200,1009843200,1041379200,1072915200,1104537600,1136073600,1167609600,1199145600,1230768000,1262304000,1293840000,1325376000,1356998400,1388534400
CES0000000001,71176,70866,72445,75621,78104,77297,78506,80692,84595,88810,90802,91037,90567,88993,92673,96373,98734,100683,103758,107168,109183,109039,108378,109805,112583,116487,118303,121382,124830,127726,131008,132694,130847,130575,130747,132753,135402,137448,138365,133976,129705,130815,133188,135261,137539
CES0500000001,58680,57988,59179,61931,64014,62673,63537,65636,68984,72873,74601,74677,74526,72970,76663,80037,82019,83638,86393,89394,91032,90565,89690,90904,93436,97090,98853,101789,105060,107642,110437,111859,109470,108949,109209,111018,113555,115353,115977,111397,107225,108554,111246,113395,115707
CES0600000001,22726,21594,21865,22955,23709,21974,21799,22320,23374,24740,24949,24152,23362,21757,22942,23672,23530,23232,23668,24097,23981,23060,22214,22133,22465,23146,23196,23619,24262,24401,24627,24531,22959,22149,21716,21959,22468,22439,21947,19888,17716,17788,18304,18579,18876
CES1000000001,687,671,670,675,725,789,824,857,752,979,1042,1139,1246,1031,1007,995,936,760,784,751,763,759,707,678,670,651,633,646,660,617,592,605,599,576,577,606,656,706,746,761,667,736,840,854,888
CES1011330001,78.6,65.4,67.1,74.2,79.9,74,78.8,84.9,83.5,87.5,89.3,84.2,74.7,75.6,87.3,86.4,83.9,83.6,91.5,88.1,86.9,79.2,78.9,79.3,82.9,83.2,82.6,82,80.8,80.1,80.3,76.3,70.8,70.9,67.7,67,64.6,61.7,58.8,53.8,48.3,48.5,50.1,49.9,54.3
CES1021000001,608,605.2,602.5,601.2,645.5,715.3,744.8,771.8,668.3,891.1,953.1,1055.1,1171.6,955.1,919.9,908.6,851.7,675.9,692.4,663.1,675.9,679.9,628.1,598.4,587.1,568.2,550.2,563.9,578.9,536.9,511.3,528.3,528.1,505.5,509.1,539.3,591,644.1,687.3,707.4,618.9,687.6,790,803.7,833.9
CES1021100001,,,141.2,136.3,136.3,146.8,154.9,159,172.3,183.5,203.4,237.5,266,260.1,252.9,248.5,236.7,199.3,196.8,192.5,191.3,190.6,188.3,175.2,166.3,156.3,147.9,145.8,141.8,138.2,126.1,123.5,124.6,120.9,119.8,124.1,128.8,140.7,154.8,165.1,156.5,162.8,181.4,193.2,205.3
CES1021200001,,,,,,,,,,,,,,,,,,,,,304.3,295.5,275.5,264.5,256.3,255.2,248.7,250.3,246,240.1,227.5,219.2,218.9,204.8,202.1,208.9,217.5,220.6,224.1,222.9,199.1,209.3,223.8,215,212.1
CES1021210001,,,,,,,,,,,,,,,,170.5,169.7,153,147,136.4,136.5,131.3,120.5,112.4,105.3,100.6,91.6,90,87.5,83.3,73.7,71.3,77.5,71.4,68.8,72.2,76.1,77.5,77.2,86.4,77.9,83.9,89.8,78.6,79.4
